S.N,Company,High,Low,Average,Closing,Trade Volume,Share Volume
18.,NHPC,530.90,128.00,"303.78378.0035,159,749,025113,124,074",378.00,"35,159,749,025","113,124,074"
19.,BPCL,703.00,383.00,"480.88435.0010,527,536,59020,276,335",435.00,"10,527,536,590","20,276,335"
20.,CHCL,785.00,462.00,"615.06516.0012,295,043,08918,710,183",516.00,"12,295,043,089","18,710,183"
21.,STC,"13,780.00","4,740.00","8,865.246,425.006,088,049,369652,040","6,425.00","6,088,049,369","652,040"
22.,BBC,"8,208.00","2,850.00","5,672.295,100.001,505,565,191250,692","5,100.00","1,505,565,191","250,692"
23.,NUBL,"1,919.00","1,166.00","1,570.321,242.0014,451,106,0798,981,610","1,242.00","14,451,106,079","8,981,610"
24.,CBBL,"2,065.20","1,240.00","1,673.341,340.0018,365,732,67310,804,210","1,340.00","18,365,732,673","10,804,210"
25.,DDBL,"2,420.00","1,019.00","1,621.831,293.0013,343,314,8897,511,832","1,293.00","13,343,314,889","7,511,832"
26.,SANIMA,564.90,319.00,"426.61365.0015,977,233,74035,972,436",365.00,"15,977,233,740","35,972,436"
27.,NABBC,"1,251.10",442.00,"693.67577.001,883,262,3782,465,488",577.00,"1,883,262,378","2,465,488"
28.,NICL,"1,294.00",640.00,"882.38870.0015,032,635,37815,559,801",870.00,"15,032,635,378","15,559,801"
29.,RBCL,"24,370.00","13,907.00","18,959.2317,400.004,411,270,818224,622","17,400.00","4,411,270,818","224,622"
30.,NLICL,"1,411.00",780.00,"1,121.371,120.0016,291,116,40613,721,004","1,120.00","16,291,116,406","13,721,004"
31.,HGI,982.00,557.00,"728.56750.007,862,259,01010,096,250",750.00,"7,862,259,010","10,096,250"
32.,UIC,890.00,546.00,"698.48717.509,849,214,24413,517,653",717.50,"9,849,214,244","13,517,653"
33.,EIC,885.00,526.00,"725.80720.205,235,706,7746,894,603",720.20,"5,235,706,774","6,894,603"
